Time(s),T1_center(℃),T2_surface(℃),T3_tab(℃)
995,224.8,205.2,175.0
996,225.9,204.4,175.0
997,225.1,205.5,175.0
998,224.2,205.6,175.0
999,226.3,204.7,175.0
1000,225.9,204.2,175.0
1001,226.8,204.6,175.0
1002,226.0,205.5,175.0
1003,226.1,205.7,175.0
1004,225.7,204.7,175.0
1005,224.1,205.4,175.0
1006,223.4,204.7,175.0
1007,224.6,204.2,175.0
1008,225.3,205.6,175.0
1009,226.0,204.4,175.0
1010,226.1,205.0,175.0
1011,224.9,204.1,175.0
1012,223.5,205.4,175.0
1013,224.3,205.8,175.0
1014,224.0,205.4,175.0
1015,226.2,205.2,175.0
1016,226.3,205.0,175.0
1017,225.4,204.3,175.0
1018,226.6,204.3,175.0
1019,226.1,205.6,175.0
1020,223.1,204.1,175.0
1021,226.1,205.0,175.0
1022,223.8,205.1,175.0
1023,224.0,204.2,175.0
1024,225.9,205.2,175.0
1025,226.4,205.5,175.0
1026,226.4,204.8,175.0
1027,224.8,205.0,175.0
1028,223.9,204.8,175.0
1029,225.7,204.9,175.0
1030,223.1,205.0,175.0
1031,225.0,204.1,175.0
1032,223.6,205.8,175.0
1033,225.4,205.3,175.0
1034,225.6,205.1,175.0
1035,226.9,204.5,175.0
1036,226.9,204.0,175.0
1037,223.3,204.5,175.0
1038,223.6,204.1,175.0
1039,223.4,204.8,175.0
1040,223.3,204.8,175.0
1041,223.3,205.6,175.0
1042,223.1,204.8,175.0
1043,226.0,204.1,175.0
1044,224.3,205.3,175.0
1045,223.4,205.4,175.0
1046,223.0,204.8,175.0
1047,226.1,205.6,175.0
1048,227.0,205.5,175.0
1049,224.9,205.9,175.0
1050,223.0,205.1,175.0
1051,224.3,204.7,175.0
1052,223.8,205.2,175.0
1053,224.8,205.4,175.0
1054,223.6,206.0,175.0
1055,225.0,205.0,175.0
1056,224.8,205.0,175.0
1057,224.4,205.8,175.0
1058,224.8,205.7,175.0
1059,226.0,204.9,175.0
1060,224.2,205.5,175.0
1061,226.5,205.7,175.0
1062,223.7,204.2,175.0
1063,223.6,205.7,175.0
1064,223.2,204.0,175.0
1065,226.1,205.1,175.0
1066,224.5,205.5,175.0
1067,226.8,205.0,175.0
1068,225.1,205.9,175.0
1069,226.1,204.0,175.0
1070,223.8,204.8,175.0
1071,226.0,204.9,175.0
1072,224.7,205.1,175.0
1073,225.4,206.0,175.0
1074,224.3,205.9,175.0
1075,223.0,204.4,175.0
1076,225.2,204.7,175.0
1077,223.7,205.7,175.0
1078,223.9,204.6,175.0
1079,227.0,205.5,175.0
1080,224.7,205.0,175.0
1081,225.5,204.5,175.0
1082,226.7,204.0,175.0
1083,225.8,204.8,175.0
1084,226.3,204.5,175.0
1085,224.0,204.4,175.0
1086,223.6,205.3,175.0
1087,223.5,204.4,175.0
1088,225.1,205.8,175.0
1089,223.9,204.9,175.0
1090,226.2,205.1,175.0
1091,225.9,204.9,175.0
1092,224.2,205.6,175.0
1093,224.5,204.8,175.0
1094,225.0,205.6,175.0
1095,223.2,205.4,175.0
1096,224.7,204.6,175.0
1097,226.9,205.5,175.0
1098,223.7,204.7,175.0
1099,226.1,204.5,175.0
1100,223.1,204.6,175.0
1101,224.2,205.2,175.0
1102,225.2,204.9,175.0
1103,224.9,204.1,175.0
1104,224.2,204.5,175.0
1105,224.8,205.7,175.0
1106,225.9,204.8,175.0
1107,226.5,204.6,175.0
1108,225.8,206.0,175.0
1109,225.8,205.7,175.0
1110,224.9,205.7,175.0
1111,225.5,205.1,175.0
1112,225.1,204.3,175.0
1113,224.3,204.7,175.0
1114,225.4,204.7,175.0
1115,223.2,204.2,175.0
1116,225.2,206.0,175.0
1117,223.2,204.1,175.0
1118,223.7,204.5,175.0
1119,224.2,205.3,175.0
1120,223.7,205.6,175.0
1121,226.0,205.7,175.0
1122,223.9,206.0,175.0
1123,223.9,204.7,175.0
1124,226.9,205.8,175.0
1125,224.2,204.4,175.0
1126,224.8,204.6,175.0
1127,225.8,205.0,175.0
1128,224.3,205.8,175.0
1129,226.1,204.5,175.0
1130,223.1,205.7,175.0
1131,223.2,205.4,175.0
1132,225.7,204.7,175.0
1133,226.8,204.9,175.0
1134,223.1,205.7,175.0
1135,223.7,204.3,175.0
1136,225.8,205.5,175.0
1137,226.8,204.3,175.0
1138,223.8,205.5,175.0
1139,224.4,204.6,175.0
1140,223.0,204.4,175.0
1141,225.7,205.0,175.0
1142,226.2,204.1,175.0
1143,224.0,204.0,175.0
1144,226.3,204.0,175.0
1145,224.1,205.6,175.0
1146,223.1,204.8,175.0
1147,226.2,204.5,175.0
1148,225.1,204.1,175.0
1149,224.2,205.9,175.0
1150,225.7,205.5,175.0
1151,226.8,204.8,175.0
1152,227.0,204.5,175.0
1153,226.3,205.3,175.0
1154,225.8,204.9,175.0
1155,225.6,205.4,175.0
1156,225.8,205.4,175.0
1157,224.3,204.8,175.0
1158,223.9,205.2,175.0
1159,224.1,204.2,175.0
1160,225.1,205.7,175.0
1161,223.4,204.9,175.0
1162,226.4,204.4,175.0
1163,225.5,204.7,175.0
1164,224.3,204.0,175.0
1165,224.0,204.6,175.0
1166,226.6,204.2,175.0
1167,225.2,205.6,175.0
1168,223.7,205.1,175.0
1169,226.1,205.2,175.0
1170,226.5,205.5,175.0
1171,226.6,204.6,175.0
1172,226.4,205.5,175.0
1173,223.0,204.2,175.0
1174,223.9,204.1,175.0
1175,224.4,204.6,175.0
1176,224.3,204.9,175.0
1177,223.9,204.6,175.0
1178,226.2,204.9,175.0
1179,224.6,204.6,175.0
1180,224.0,204.3,175.0
1181,223.1,204.3,175.0
1182,224.7,205.2,175.0
1183,224.8,204.8,175.0
1184,226.7,205.2,175.0
1185,225.6,205.3,175.0
1186,226.4,205.3,175.0
1187,224.0,206.0,175.0
1188,226.6,204.7,175.0
1189,226.0,205.4,175.0
1190,224.1,204.4,175.0
1191,225.7,205.2,175.0
1192,224.8,204.4,175.0
1193,224.6,205.9,175.0
1194,225.7,205.3,175.0
1195,224.7,205.2,175.0
1196,223.4,204.7,175.0
1197,223.9,204.1,175.0
1198,225.2,205.8,175.0
1199,226.2,204.4,175.0
